avg_sale_price,color,highest_bid,lowest_ask,number_of_sales,price_premium,product_title,release_date,retail_price,style,volatility
846, Black/White-Cone ,1000,709,1615,515,Nike Air Presto Off-White Black (2018), 07/27/2018 ,160, AA3830-002 ,10.9
244, Black/Metallic Gold-Rose Frost ,300,245,695,22,Nike LeBron 16 Watch the Throne, 02/17/2019 ,200, CI1518-001 ,13.1
348, Metallic Silver/Varsity Red-Black-White ,450,375,746,94.1,Nike Air Max 97 Silver Bullet (2016/2017), 12/14/2016 ,170, 884421-001 ,14.9
206, Space Purple/White-Black-Washed Coral ,320,260,951,87.4,Nike Air Max 97 Have a Nike Day, 03/01/2019 ,170, BQ9130-500 ,11.8
179, White/Red-Blue ,220,145,1275,78.3,Nike Tailwind 79 Stranger Things Independence Day Pack, 07/12/2019 ,120, CK1905-100 ,19
133, White/Black-Multi-Color ,250,145,5214,90,Nike Air Force 1 Low Day of the Dead (2019), 10/25/2019 ,100, CT1138-100 ,28.5
193, Frosted Spruce/Aluminum ,275,149,6355,115.4,Nike Kyrie 5 Spongebob Squidward, 08/10/2019 ,130, CJ6951-300/CJ6950-300 ,8.2
161, Black/White-Black-Black ,166,155,442,8.7,Nike React Presto Undercover Black, 01/28/2020 ,180, CU3459-001 ,14.6
902, Sail/Sail-Gum Light Brown ,1050,900,785,986.8,Nike Air Force 1 Low Travis Scott Sail, 08/10/2018 ,150, AQ4211-101 ,13.5
344, Red Bark/Khaki-Terra Blush-Dusty Peach ,585,310,1290,206.3,Nike Air Max 1 Amsterdam, 03/19/2020 ,160, CV1638-200 ,11
191, White/Sport Red-Black-Neutral Grey ,215,195,2079,83.3,Nike Air Max 1 Tinker Sketch to Shelf, 07/13/2019 ,150, CJ4286-101 ,14.6
216, Black/White ,235,113,2640,33.8,Nike Daybreak Undercover Black, 06/07/2019 ,160, BV4594-001 ,14.6
150, Black/Black-White-Varsity Royal ,300,155,1556,139.3,Nike SB Dunk High Space Jam, 11/27/2019 ,110, BQ6826-002 ,13.3
1063, Light Blue Fury/Lemon Wash ,1325,1050,1643,575,Nike Air Max 1/97 Sean Wotherspoon (Extra Lace Set Only), 03/26/2018 ,160, AJ4219-400 ,14.3
199, Viotech/Viotech ,500,319,5246,191.7,Nike Dunk Low Viotech (2019), 12/10/2019 ,120, CT5050-500 ,11.4
177, White/Black-White ,205,183,356,10.6,Nike React Presto Undercover White, 01/28/2020 ,180, CU3459-100 ,12.8
208, Black/Reflect Silver-Blue Lagoon ,210,165,2513,13,Nike Air Max 97 Neon Seoul, 04/13/2019 ,200, CI1503-001 ,10
324, White/Obsidian-University Red-Varsity Maize ,360,234,2694,97.9,Nike Blazer Mid sacai Snow Beach, 05/30/2019 ,140, BV0072-700 ,10.3
324, Black/Orange-Cement Grey-Outdoor green ,419,340,4503,235,Nike SB Dunk Low Safari, 03/14/2020 ,100, CD2563-002 ,8.2
956, Black/White-Cone-Black ,1400,700,1392,533.6,Nike Air Force 1 Low Off-White Black White, 12/19/2018 ,170, AO4606-001 ,10.8
250, Black/Metallic Silver-White-Pink Blast ,299,228,4910,88.3,Nike Zoom Terra Kiger 5 Off-White Black (W), 06/24/2019 ,180, CD8179-001 ,9
249, Black/Orange-Purple-Electric Green ,485,446,5285,453.3,Nike SB Dunk Low Night of Mischief Halloween, 10/31/2019 ,90, BQ6817-006 ,6.4
319, Black/White-Wolf Grey-Black ,312,220,8340,141.4,Nike Blazer Mid sacai Black Grey, 10/10/2019 ,140, BV0072-002 ,11.8
190, Snake/White ,311,204,1545,134.4,Nike SB Blazer Mid Soulland FRI.day 03, 11/22/2019 ,90, CN4540-001 ,15.2
708, White/Black-Cone ,859,639,2162,318.1,Nike Air Presto Off-White White (2018), 08/03/2018 ,160, AA3830-100 ,10.4
197, White/University Red-Neutral Grey-Black ,300,250,2248,94.3,Nike Air Max 1 Anniversary Red (2017/2018 Restock Pair), 09/21/2017 ,140, 908375-103 ,8.8
102, Sail/Navy ,100,70,2633,-20.8,Nike Classic Cortez Stranger Things Sail Upside Down Pack, 08/13/2019 ,120, CJ6107-100 ,17.3
285, White/Red-Pink ,420,376,3712,271,Nike SB Dunk Low Parra, 07/27/2019 ,100, CN4504-100 ,4.6
284, Summit White/White-Wolf Grey-Black ,285,164,8510,128.7,Nike Blazer Mid sacai White Grey, 10/10/2019 ,140, BV0072-100 ,12.2
122, Mars Stone/Magma Orange ,205,70,3355,46.9,Nike Air Max 90 Mars Landing, 03/16/2019 ,160, CD0920-600 ,23.7
